72,16387,9,5
110,16163,8,5
108,12228,7,5
120,14780,9,5
120,13975,9,5
82,9942,9,5
103,12867,8,5
82,10672,8,5
82,11643,8,5
121,13758,9,5
131,14828,9,5
48,5911,9,5
61,7740,9,5
48,6373,9,5
65,10237,6,5
65,10237,7,5
102,11660,6,5
96,11631,8,5
75,9073,7,5
43,3087,7,5
43,3010,7,5
59,9171,7,5
84,9660,8,5
83,9545,8,5
83,10019,8,5
114,17242,9,5
75,12447,8,5
49,15218,8,5
85,10936,8,5
72,8640,8,5
100,13162,9,5
65,8125,6,5
74,7733,6,5
91,11024,7,5
63,13072,6,5
65,7800,7,5
74,7632,7,5
70,8304,6,5
70,9370,6,5
50,7175,6,5
50,7175,6,5
70,9100,5,4
68,8927,6,6
65,8450,5,6
100,14330,7,4
105,11025,8,5
34,3628,7,5
24,2544,7,5
114,8314,7,5
60,7180,8,5
79,13110,5,6
78,10140,7,6
80,9600,5,5
72,8640,5,5
78,9360,6,7
70,8400,5,6
80,9600,5,7
80,8800,6,7
85,9350,5,6
80,10800,5,7
60,8550,6,8
68,9724,5,7
80,9600,5,6
89,10858,5,6
80,9600,5,5
79,9462,5,6
82,9888,5,6
109,9723,6,7
70,8400,5,5
125,10000,5,6
72,10152,6,6
70,8092,6,8
66,12778,5,6
75,10170,6,6
55,7700,5,7
65,11050,5,5
80,13600,5,6
85,15428,5,6
118,21299,7,5
70,13300,5,5
94,22136,5,5
50,7500,6,6
60,10410,3,8
60,10914,3,3
60,7008,4,8
60,7200,6,8
60,10818,4,4
83,10184,6,5
77,9510,6,5
80,10800,6,6
86,11650,7,5
60,12144,4,6
60,8544,3,4
75,8512,5,5
70,7000,5,4
74,7400,7,6
70,7000,5,6
70,7000,5,5
62,9856,5,8
60,9600,5,6
60,5520,4,6
60,9600,6,8
58,6451,7,7
66,3960,7,8
56,7745,4,6
56,7741,6,5
50,5633,5,7
60,7200,4,5
42,7614,3,5
50,6000,5,7
50,6000,5,7
52,7830,3,5
56,9576,6,7
48,5747,3,4
70,6300,7,6
33,5976,5,7
65,9750,5,5
63,4761,3,3
69,11737,6,7
51,6120,3,5
51,6120,5,7
50,11672,5,5
90,33120,6,5
60,10320,4,5
60,7518,5,8
50,9000,5,4
60,7200,6,6
82,12375,5,5
120,11136,6,5
100,21370,5,5
55,8250,5,7
50,5220,5,3
50,5500,7,5
80,10366,6,7
75,9000,5,6
75,8235,5,4
87,13050,5,6
72,10820,5,7
75,9375,4,5
62,6488,5,5
114,19950,6,7
60,19800,6,8
78,11679,5,5
80,12048,5,6
70,10519,5,8
75,9525,6,5
88,12128,6,4
73,9069,6,8
133,11003,7,5
64,7488,7,5
90,13377,6,5
78,11645,8,5
91,10984,7,5
78,9316,7,5
78,9316,7,5
80,12000,6,5
95,13015,5,6
65,12438,6,5
68,9272,7,5
72,13426,7,5
50,8340,6,6
42,10385,6,6
60,7200,5,8
45,9468,6,5
70,8726,7,5
67,10566,8,5
90,11250,7,5
90,11250,7,5
37,4435,6,5
70,8810,7,5
74,8581,7,5
70,8400,7,5
65,8772,7,5
67,8777,4,6
38,7840,6,5
73,16133,5,4
62,7162,7,5
75,8050,6,5
90,11060,7,5
35,3675,6,5
24,2522,7,5
56,6956,4,7
72,7822,6,3
62,8707,4,5
60,16012,4,4
45,8248,4,4
60,8088,2,3
76,11388,4,7
60,10890,5,5
58,6430,6,6
43,7000,7,8
69,4899,6,8
54,9399,7,8
84,10164,5,5
51,6191,5,4
66,21780,6,5
80,12400,5,6
81,8170,7,7
70,12320,7,7
70,14210,6,7
78,15600,5,7
50,7288,5,6
50,7000,6,7
61,8534,4,4
50,7030,4,6
75,9060,6,5
69,12366,3,5
50,9000,5,6
60,8520,3,5
41,5748,8,5
44,3842,8,5
69,23580,6,6
65,8385,6,5
70,9116,8,5
140,11080,6,6
95,13618,8,5
88,11577,9,5
125,31250,1,3
78,7020,7,5
41,2665,5,6
58,10172,5,7
21,1470,4,6
21,1484,4,4
80,13384,5,5
21,1533,4,5
21,1526,4,5
21,1936,4,7
21,1894,4,5
160,20000,5,7
62,10441,5,5
74,9627,7,5
